	model_id	variable	relative_importance	scaled_importance	percentage
24	XGBoost_1_AutoML_20190415_201144	floor	9.888688282040638e+19	0.14849680322323694	0.03559404756276945
25	XGBoost_1_AutoML_20190415_201144	heat_fuel_cogeneration	9.273449074039508e+19	0.13925785736914528	0.03337951182178099
26	XGBoost_1_AutoML_20190415_201144	total_household_count_of_area_type	8.440436194994553e+19	0.12674864016521964	0.030381106048289766
27	XGBoost_1_AutoML_20190415_201144	bathroom_count	7.176093700466095e+19	0.10776221716736328	0.0258301417947589
28	XGBoost_1_AutoML_20190415_201144	room_count	7.142757387521229e+19	0.1072616112464999	0.025710148700155852
29	XGBoost_1_AutoML_20190415_201144	heat_type_individual	5.170253318500385e+19	0.0776408425216537	0.018610177334085473
30	XGBoost_1_AutoML_20190415_201144	heat_fuel_gas	4.318938848508772e+19	0.06485679334083037	0.015545895513129718
31	XGBoost_1_AutoML_20190415_201144	heat_type_district	3.980597570214193e+19	0.05977597809089912	0.01432804586425998
32	XGBoost_1_AutoML_20190415_201144	front_door_structure_stairway	1.7195903362067857e+19	0.025822804855123203	0.006189615697218872
33	XGBoost_1_AutoML_20190415_201144	front_door_structure_corridor	1.3596492619357094e+19	0.020417629026589296	0.0048940182072396265
34	XGBoost_1_AutoML_20190415_201144	front_door_structure_mixed	9.147930146026553e+18	0.013737296030066525	0.00329277100694864
35	XGBoost_1_AutoML_20190415_201144	heat_type_central	7.654024247123116e+18	0.011493922146935915	0.002755043897920002
36	XGBoost_1_AutoML_20190415_220045	exclusive_use_area	6.655784039422959e+20	1.0	0.24491073410516995
37	XGBoost_1_AutoML_20190415_220045	supply_area	5.986703946032894e+20	0.8994738877603258	0.2202908101598126
38	XGBoost_1_AutoML_20190415_220045	city	5.0350342350243994e+20	0.7564900250971672	0.18527252738978564
39	XGBoost_1_AutoML_20190415_220045	total_parking_capacity_in_site	1.722465361201327e+20	0.25879225512711507	0.06338100118391418
40	XGBoost_1_AutoML_20190415_220045	apartment_building_count_in_sites	1.4204837889452068e+20	0.2134209554474005	0.05226908287204963
41	XGBoost_1_AutoML_20190415_220045	total_household_count_in_sites	1.3707762756283374e+20	0.20595263721134505	0.05044001157032625
42	XGBoost_1_AutoML_20190415_220045	total_household_count_of_area_type	9.421039598468438e+19	0.14154665389782117	0.0346662949162458
