	model_id	variable	relative_importance	scaled_importance	percentage
167	GBM_grid_1_AutoML_20190416_015849_model_7	total_household_count_in_sites	1.345381990257595e+21	0.3183576413081914	0.06479715881074848
168	GBM_grid_1_AutoML_20190416_015849_model_7	floor	9.042147187849387e+20	0.213964262338168	0.043549374940648526
169	GBM_grid_1_AutoML_20190416_015849_model_7	total_household_count_of_area_type	8.356883690673343e+20	0.1977488772493727	0.040248964501437626
170	GBM_grid_1_AutoML_20190416_015849_model_7	bathroom_count	8.052332691684506e+20	0.19054228920239163	0.03878216625451941
171	GBM_grid_1_AutoML_20190416_015849_model_7	room_count	7.135546174539762e+20	0.16884837659653984	0.034366679650926116
172	GBM_grid_1_AutoML_20190416_015849_model_7	heat_fuel_gas	6.315243649911897e+20	0.14943756399530378	0.03041588550130378
173	GBM_grid_1_AutoML_20190416_015849_model_7	heat_fuel_cogeneration	5.835587771598803e+20	0.13808747047798767	0.02810573579314455
174	GBM_grid_1_AutoML_20190416_015849_model_7	heat_type_individual	4.749861380807207e+20	0.11239593488575875	0.022876590027957538
175	GBM_grid_1_AutoML_20190416_015849_model_7	heat_type_district	4.363404330189057e+20	0.10325120454206221	0.021015310550175678
176	GBM_grid_1_AutoML_20190416_015849_model_7	front_door_structure_corridor	1.3883343328318272e+20	0.03285214509693984	0.006686585735378703
177	GBM_grid_1_AutoML_20190416_015849_model_7	front_door_structure_stairway	1.3698513664470522e+20	0.03241478279944773	0.006597566875545542
178	GBM_grid_1_AutoML_20190416_015849_model_7	heat_type_central	1.0759539314439225e+20	0.025460289958629385	0.005182079013520335
179	GBM_grid_1_AutoML_20190416_015849_model_7	front_door_structure_mixed	5.1846692353544815e+19	0.012268478994687353	0.0024970739779275834
180	GBM_4_AutoML_20190416_015849	supply_area	4.6469530737906287e+20	1.0	0.25392549877188986
181	GBM_4_AutoML_20190416_015849	exclusive_use_area	3.8462510591660104e+20	0.8276931137650876	0.21017238674285846
182	GBM_4_AutoML_20190416_015849	city	3.4325954333920304e+20	0.7386765863318654	0.1875688206154359
183	GBM_4_AutoML_20190416_015849	apartment_building_count_in_sites	1.3456532265820278e+20	0.28957753719779805	0.07353112056608636
184	GBM_4_AutoML_20190416_015849	total_parking_capacity_in_site	9.112229003472667e+19	0.19609040286777865	0.04979235335258152
185	GBM_4_AutoML_20190416_015849	floor	6.736081461560371e+19	0.14495695038438577	0.03680826592680725
186	GBM_4_AutoML_20190416_015849	total_household_count_in_sites	5.467916185004461e+19	0.11766669682644662	0.02987857468049621
187	GBM_4_AutoML_20190416_015849	heat_type_individual	5.324246958844831e+19	0.11457501021205102	0.02909351661488943
188	GBM_4_AutoML_20190416_015849	heat_fuel_gas	4.523272529219315e+19	0.09733845936020127	0.024716716842726444
189	GBM_4_AutoML_20190416_015849	heat_fuel_cogeneration	3.968723724243514e+19	0.08540485908126748	0.021686471439753816
190	GBM_4_AutoML_20190416_015849	total_household_count_of_area_type	3.965426068969488e+19	0.0853338952642962	0.021668451917134627
