	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
131	GBM_grid_1_AutoML_20190416_023844_model_37	29681388769411260	172282874.27777395	29681388769411260	104343174.08953388	0.3825285693435154	2019-04-16	1500
132	GBM_grid_1_AutoML_20190416_022142_model_38	29778053505747180	172563186.99464026	29778053505747180	104660802.96478434	0.3838450809747131	2019-04-16	1500
133	GBM_grid_1_AutoML_20190416_022142_model_14	29784065838873524	172580606.78672308	29784065838873524	108044808.14096619		2019-04-16	1500
134	GBM_grid_1_AutoML_20190416_020809_model_4	29931520400766628	173007284.24192616	29931520400766628	107391733.57712854		2019-04-16	1500
135	GBM_grid_1_AutoML_20190416_023844_model_7	29944888506682624	173045914.44666535	29944888506682624	108681766.89082614		2019-04-16	1500
136	GBM_grid_1_AutoML_20190416_023844_model_40	29959032010576616	173086775.95523182	29959032010576616	107268994.79840976	0.35838304061933496	2019-04-16	1500
137	GBM_grid_1_AutoML_20190416_015849_model_9	30057834252932668	173371953.47844663	30057834252932668	102872059.59500144	0.3418653558395161	2019-04-16	1500
138	GBM_grid_1_AutoML_20190416_022142_model_10	30194400992499188	173765361.88924187	30194400992499188	105497465.61527307	0.3694815111680159	2019-04-16	1500
139	XGBoost_grid_1_AutoML_20190416_021340_model_9	30252689366868012	173933002.52358094	30252689366868012	101734577.45487122	0.33730155190157823	2019-04-16	1500
140	GBM_grid_1_AutoML_20190416_023844_model_15	30479126293695972	174582720.49001864	30479126293695972	105128335.47769044	0.3816058641045447	2019-04-16	1500
141	GBM_grid_1_AutoML_20190416_023844_model_1	30520659574573900	174701630.14286357	30520659574573900	106040954.16457194	0.3685592941623891	2019-04-16	1500
142	GBM_grid_1_AutoML_20190416_022142_model_44	30526485053389444	174718301.9989304	30526485053389444	106528020.02453192	0.3951057091713098	2019-04-16	1500
143	GBM_grid_1_AutoML_20190416_023844_model_43	30552249664982252	174792018.31028283	30552249664982252	109092538.20875372	0.3654384309655534	2019-04-16	1500
144	XGBoost_grid_1_AutoML_20190416_020809_model_6	30568125576670464	174837426.13259462	30568125576670464	100303077.5131019	0.33426659012493537	2019-04-16	1500
145	GBM_grid_1_AutoML_20190416_022142_model_32	30693481455151964	175195552.04157433	30693481455151964	105918044.98934557	0.3982588563774573	2019-04-16	1500
146	GBM_grid_1_AutoML_20190416_022142_model_23	30792104298996820	175476791.3400425	30792104298996820	106658279.33083495	0.35339021053506464	2019-04-16	1500
147	XGBoost_grid_1_AutoML_20190416_023844_model_7	30833433018728036	175594513.06555122	30833433018728036	106400365.17805152	0.3513254460469658	2019-04-16	1500
148	XGBoost_grid_1_AutoML_20190416_020809_model_8	30837961061819440	175607406.05629206	30837961061819440	102545160.8488242	0.3474454962700268	2019-04-16	1500
149	XGBoost_grid_1_AutoML_20190416_022142_model_7	30979372644257904	176009581.1149436	30979372644257904	106196991.60582308	0.3506132213627436	2019-04-16	1500
150	GBM_grid_1_AutoML_20190416_022142_model_8	31000569888411100	176069786.98348874	31000569888411100	106226131.78089921	0.3514447570100346	2019-04-16	1500
151	GBM_grid_1_AutoML_20190416_020809_model_2	31046607464839012	176200475.21172866	31046607464839012	104285464.23909764	0.3461128962964271	2019-04-16	1500
152	GBM_grid_1_AutoML_20190416_023844_model_2	31086343111052110	176313196.07746923	31086343111052110	109438068.00162092		2019-04-16	1500
153	GBM_grid_1_AutoML_20190416_023844_model_47	31186768351241572	176597758.62462574	31186768351241572	106798774.39785253	0.3742204323490332	2019-04-16	1500
154	XGBoost_grid_1_AutoML_20190416_015849_model_6	31255604065618384	176792545.27727798	31255604065618384	98474533.51041432	0.3276404595806521	2019-04-16	1500
155	GBM_grid_1_AutoML_20190416_023844_model_60	31312508215605484	176953406.9059013	31312508215605484	109886902.49351417	0.3650750893716629	2019-04-16	1500
156	GBM_grid_1_AutoML_20190416_023844_model_41	31345279975228656	177045982.65769452	31345279975228656	107809681.54464452	0.4103583543221401	2019-04-16	1500
157	XGBoost_grid_1_AutoML_20190416_021340_model_1	31655113752904720	177918840.35397914	31655113752904720	107453446.15319148	0.35440161149597976	2019-04-16	1500
158	GBM_grid_1_AutoML_20190416_022142_model_43	31656911160384904	177923891.4828048	31656911160384904	112748324.66398253		2019-04-16	1500
159	GBM_grid_1_AutoML_20190416_022142_model_24	31714797939382212	178086490.05295774	31714797939382212	109173328.49985024	0.3577895766098909	2019-04-16	1500
160	GBM_grid_1_AutoML_20190416_023844_model_17	31746240923729840	178174748.27744207	31746240923729840	108858409.56022376	0.4156533463626531	2019-04-16	1500
161	XGBoost_grid_1_AutoML_20190416_021340_model_11	31820119305873490	178381947.8138791	31820119305873490	103287060.16035834	2.1680413143117208	2019-04-16	1500
162	XGBoost_grid_1_AutoML_20190416_021340_model_3	31864613114687650	178506619.24614352	31864613114687650	106656095.85890256	0.3506573501920822	2019-04-16	1500
163	GBM_grid_1_AutoML_20190416_020809_model_7	32012409254671496	178920119.75926992	32012409254671496	112712050.01559491		2019-04-16	1500
164	GBM_grid_1_AutoML_20190416_023844_model_13	32040194620064464	178997750.32123858	32040194620064464	112550669.83102378		2019-04-16	1500
165	GBM_grid_1_AutoML_20190416_021340_model_3	32152436247443828	179311004.2564143	32152436247443828	110644817.16134046		2019-04-16	1500
166	GBM_grid_1_AutoML_20190416_023844_model_44	32190165821931330	179416180.4908669	32190165821931330	106901189.06113765	0.3687650630901803	2019-04-16	1500
167	GBM_grid_1_AutoML_20190416_023844_model_22	32312508564278164	179756803.94432408	32312508564278164	108497959.86317636	0.38008855058241736	2019-04-16	1500
168	GBM_grid_1_AutoML_20190416_023844_model_19	32509974161652708	180305224.99820328	32509974161652708	110959592.17539246		2019-04-16	1500
169	GBM_grid_1_AutoML_20190416_015849_model_3	32558287322821108	180439151.30265132	32558287322821108	112373045.5310324		2019-04-16	1500
170	GBM_grid_1_AutoML_20190416_022142_model_17	32561468382781344	180447965.85936165	32561468382781344	112799806.88835292		2019-04-16	1500
171	GBM_grid_1_AutoML_20190416_021340_model_8	32745711624916960	180957761.99134693	32745711624916960	112167299.67828412		2019-04-16	1500
172	GBM_grid_1_AutoML_20190416_022142_model_45	32787705320082620	181073756.57472456	32787705320082620	110587180.96718544	0.37124560469575935	2019-04-16	1500
